generated_path,target_path,psnr,ssim,lpips,nmi
generated_by_model\subject01\gen_drr073.png,data\deepfluoro\subject01\DRRs_bone_png\drr073_bone.png,37.92819595336914,0.9826967672653198,0.006476671900600195,0.6617744990584116
generated_by_model\subject01\gen_drr074.png,data\deepfluoro\subject01\DRRs_bone_png\drr074_bone.png,37.460662841796875,0.9681005303106308,0.007910110987722874,0.673241459701573
generated_by_model\subject01\gen_drr075.png,data\deepfluoro\subject01\DRRs_bone_png\drr075_bone.png,36.44049835205078,0.9828375551080704,0.007604661397635937,0.6579870518761637
generated_by_model\subject01\gen_drr076.png,data\deepfluoro\subject01\DRRs_bone_png\drr076_bone.png,38.14312744140625,0.9754374643163681,0.005911137443035841,0.66481962646098
generated_by_model\subject01\gen_drr077.png,data\deepfluoro\subject01\DRRs_bone_png\drr077_bone.png,35.681060791015625,0.954465539545536,0.007398602552711964,0.6518838922165632
generated_by_model\subject01\gen_drr078.png,data\deepfluoro\subject01\DRRs_bone_png\drr078_bone.png,38.475006103515625,0.9770863014755249,0.005674411077052355,0.6718620190031267
generated_by_model\subject01\gen_drr079.png,data\deepfluoro\subject01\DRRs_bone_png\drr079_bone.png,37.47665786743164,0.9617989926056862,0.008245245553553104,0.6605476782469305
generated_by_model\subject01\gen_drr080.png,data\deepfluoro\subject01\DRRs_bone_png\drr080_bone.png,36.53192138671875,0.9522072277927399,0.007226713001728058,0.655919441614046
generated_by_model\subject01\gen_drr081.png,data\deepfluoro\subject01\DRRs_bone_png\drr081_bone.png,36.83706283569336,0.9642514602150917,0.007403098046779633,0.661913719075928
generated_by_model\subject01\gen_drr082.png,data\deepfluoro\subject01\DRRs_bone_png\drr082_bone.png,37.49660110473633,0.9757038624019623,0.006377802230417728,0.6581809333927958
generated_by_model\subject01\gen_drr083.png,data\deepfluoro\subject01\DRRs_bone_png\drr083_bone.png,38.298736572265625,0.984070603477478,0.005659973248839378,0.6616085889511929
generated_by_model\subject01\gen_drr084.png,data\deepfluoro\subject01\DRRs_bone_png\drr084_bone.png,37.876853942871094,0.962634583635807,0.008456052280962467,0.6500094143271316
generated_by_model\subject01\gen_drr085.png,data\deepfluoro\subject01\DRRs_bone_png\drr085_bone.png,38.967315673828125,0.9708701100978852,0.007484307512640953,0.6421038573154596
generated_by_model\subject01\gen_drr086.png,data\deepfluoro\subject01\DRRs_bone_png\drr086_bone.png,38.04942321777344,0.9718483277301788,0.007099376060068607,0.6708893169017249
generated_by_model\subject01\gen_drr087.png,data\deepfluoro\subject01\DRRs_bone_png\drr087_bone.png,37.76546096801758,0.9724530715808868,0.006109488196671009,0.6738473948750264
generated_by_model\subject01\gen_drr088.png,data\deepfluoro\subject01\DRRs_bone_png\drr088_bone.png,35.84607696533203,0.9568624574232102,0.008278872817754745,0.6477029711401746
generated_by_model\subject01\gen_drr089.png,data\deepfluoro\subject01\DRRs_bone_png\drr089_bone.png,37.5965576171875,0.9695591457948685,0.007579413242638111,0.668306223170694
generated_by_model\subject01\gen_drr090.png,data\deepfluoro\subject01\DRRs_bone_png\drr090_bone.png,35.86080551147461,0.9767207467069626,0.008146467618644238,0.6603183379624017
generated_by_model\subject01\gen_drr091.png,data\deepfluoro\subject01\DRRs_bone_png\drr091_bone.png,36.329811096191406,0.9820450216197968,0.007503216154873371,0.6613623681520628
generated_by_model\subject01\gen_drr092.png,data\deepfluoro\subject01\DRRs_bone_png\drr092_bone.png,38.854347229003906,0.9746348858242035,0.005505439825356007,0.679592654456139
generated_by_model\subject01\gen_drr093.png,data\deepfluoro\subject01\DRRs_bone_png\drr093_bone.png,38.95858383178711,0.9713057053899765,0.007122625131160021,0.6680560099249429
generated_by_model\subject01\gen_drr094.png,data\deepfluoro\subject01\DRRs_bone_png\drr094_bone.png,38.22486877441406,0.9695393343601226,0.008302105590701103,0.6631066774426204
generated_by_model\subject01\gen_drr095.png,data\deepfluoro\subject01\DRRs_bone_png\drr095_bone.png,36.466270446777344,0.9721154505195617,0.00885449443012476,0.6599291163343931
generated_by_model\subject01\gen_drr096.png,data\deepfluoro\subject01\DRRs_bone_png\drr096_bone.png,37.34185791015625,0.9749603470077515,0.008072486147284508,0.6608954329269215
generated_by_model\subject01\gen_drr097.png,data\deepfluoro\subject01\DRRs_bone_png\drr097_bone.png,36.92576217651367,0.9708952217559814,0.010435983538627625,0.6514892661534954
generated_by_model\subject01\gen_drr098.png,data\deepfluoro\subject01\DRRs_bone_png\drr098_bone.png,37.590126037597656,0.9640419248871803,0.007494532503187656,0.6630108101419266
generated_by_model\subject01\gen_drr099.png,data\deepfluoro\subject01\DRRs_bone_png\drr099_bone.png,38.41453170776367,0.9690726689386367,0.006312131881713867,0.6674339636597021
generated_by_model\subject01\gen_drr100.png,data\deepfluoro\subject01\DRRs_bone_png\drr100_bone.png,38.0495491027832,0.9675138753252029,0.006405615713447332,0.6745428544802066
generated_by_model\subject01\gen_drr101.png,data\deepfluoro\subject01\DRRs_bone_png\drr101_bone.png,38.407867431640625,0.9642945294089317,0.008774028159677982,0.6542105706125146
generated_by_model\subject01\gen_drr102.png,data\deepfluoro\subject01\DRRs_bone_png\drr102_bone.png,38.232093811035156,0.9617262321152688,0.007171276491135359,0.6616240090849713
generated_by_model\subject01\gen_drr103.png,data\deepfluoro\subject01\DRRs_bone_png\drr103_bone.png,36.26885223388672,0.9735379964647293,0.007814743556082249,0.6538519318180381
generated_by_model\subject01\gen_drr104.png,data\deepfluoro\subject01\DRRs_bone_png\drr104_bone.png,35.8881721496582,0.9764521417350769,0.008706391789019108,0.648332951258696
generated_by_model\subject01\gen_drr105.png,data\deepfluoro\subject01\DRRs_bone_png\drr105_bone.png,35.49893569946289,0.9673592997570037,0.006883146241307259,0.6570216717322451
generated_by_model\subject01\gen_drr106.png,data\deepfluoro\subject01\DRRs_bone_png\drr106_bone.png,35.4274787902832,0.9720435955677033,0.007297154050320387,0.6592904583494955
generated_by_model\subject01\gen_drr107.png,data\deepfluoro\subject01\DRRs_bone_png\drr107_bone.png,36.25004196166992,0.9795842968130112,0.007304179482161999,0.6606493520289118
generated_by_model\subject01\gen_drr108.png,data\deepfluoro\subject01\DRRs_bone_png\drr108_bone.png,36.80150604248047,0.9650546484613418,0.007155204191803932,0.6574359264784198
generated_by_model\subject01\gen_drr109.png,data\deepfluoro\subject01\DRRs_bone_png\drr109_bone.png,37.00705337524414,0.9732613808670044,0.007314728572964668,0.6609602547433328
generated_by_model\subject01\gen_drr110.png,data\deepfluoro\subject01\DRRs_bone_png\drr110_bone.png,35.81044006347656,0.9788620445785522,0.0069761015474796295,0.657172473675336
